City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,23.23,58,94,0.89,US,1694972078
1,adamstown,-25.066,-130.1015,19.06,66,99,5.69,PN,1694972078
2,yellowknife,62.456,-114.3525,14.12,83,100,5.66,CA,1694972078
3,college,64.8569,-147.8028,8.37,88,100,4.63,US,1694972079
4,island harbour,50.724,-1.2758,20.08,93,54,4.47,GB,1694972079
5,edinburgh of the seven seas,-37.0676,-12.3116,12.74,83,68,7.7,SH,1694972079
6,san patricio,28.017,-97.5169,32.13,35,53,3.7,US,1694972079
7,longyearbyen,78.2186,15.6401,-2.09,93,100,5.66,SJ,1694971926
8,ust-nera,64.5667,143.2,0.54,85,88,1.56,RU,1694972079
9,tiksi,71.6872,128.8694,-0.52,89,99,3.93,RU,1694972080
10,ilulissat,69.2167,-51.1,2.01,80,75,2.57,GL,1694972080
11,bilibino,68.0546,166.4372,3.18,70,100,1.32,RU,1694972080
12,severo-yeniseyskiy,60.3725,93.0408,11.73,74,100,0.61,RU,1694972080
13,chauk,20.8833,94.8167,25.41,91,98,3.28,MM,1694972080
14,buka,40.8108,69.1986,19.18,29,6,1.9,UZ,1694972080
15,uturoa,-16.7333,-151.4333,25.32,83,4,3.87,PF,1694972080
16,nadi,-17.8,177.4167,24.0,94,20,1.03,FJ,1694971837
17,tostado,-29.232,-61.7692,31.95,31,65,3.49,AR,1694972081
18,saveh,35.0213,50.3566,26.36,33,0,3.34,IR,1694972081
19,iqaluit,63.7506,-68.5145,0.85,69,75,2.06,CA,1694972081
20,bredasdorp,-34.5322,20.0403,9.4,86,15,2.29,ZA,1694971838
21,kingston,17.997,-76.7936,31.53,70,20,6.69,JM,1694971926
22,qaqortoq,60.7167,-46.0333,3.14,48,0,1.28,GL,1694972081
23,armacao de buzios,-22.7469,-41.8817,33.03,76,0,9.71,BR,1694972082
24,garbahaarrey,3.3289,42.2209,31.34,35,92,4.36,SO,1694972082
25,usogorsk,63.4106,48.6872,9.8,92,100,2.69,RU,1694972082
26,zhangye,38.9342,100.4517,15.59,35,27,3.07,CN,1694972082
27,waitangi,-43.9535,-176.5597,9.9,90,83,6.26,NZ,1694972082
28,susuman,62.7833,148.1667,-1.18,86,76,1.04,RU,1694971839
